Student: Cristobal Gray, Student Number: 1, Program: Basic principles and practices in cybersecurity., Current Module: Introduction to Cybersecurity, Module Completed: Introduction to Cybersecurity: 88, Module to Repeat: null
Student: Cristobal Gray, Student Number: 1, Program: Practices and strategies for software maintenance., Current Module: Software Maintenance Practices, Module Completed: Software Maintenance Practices: 15, Module to Repeat: Software Maintenance Practices
Student: Cristobal Gray, Student Number: 1, Program: Strategies for marketing products and services in the digital age., Current Module: Digital Marketing Strategies, Module Completed: Digital Marketing Strategies: 88, Module to Repeat: null
Student: Neel Emberson, Student Number: 2, Program: Ethical and privacy issues in computing and technology., Current Module: Computer Ethics and Privacy, Module Completed: Computer Ethics and Privacy: 92, Module to Repeat: null
Student: Neel Emberson, Student Number: 2, Program: Fundamental concepts in information theory., Current Module: Information Theory Fundamentals, Module Completed: Information Theory Fundamentals: 9, Module to Repeat: Information Theory Fundamentals
Student: Neel Emberson, Student Number: 2, Program: Implementation of computer vision algorithms., Current Module: Computer Vision Algorithms Implementation, Module Completed: Computer Vision Algorithms Implementation: 5, Module to Repeat: Computer Vision Algorithms Implementation
Student: Hamnet Leinweber, Student Number: 3, Program: Concepts and applications of IoT technologies., Current Module: Internet of Things, Module Completed: Internet of Things: 83, Module to Repeat: null
Student: Hamnet Leinweber, Student Number: 3, Program: Fundamentals of web design and development using HTML, CSS, and JavaScript., Current Module: Web Design and Development, Module Completed: Web Design and Development: 6, Module to Repeat: Web Design and Development
Student: Andonis Aguirrezabal, Student Number: 4, Program: Fundamentals of web design and development using HTML, CSS, and JavaScript., Current Module: Web Design and Development, Module Completed: Web Design and Development: 75, Module to Repeat: null
Student: Izak Archbell, Student Number: 5, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Lowrance Riccione, Student Number: 6, Program: Analysis of social media data for insights and trends., Current Module: Social Media Analytics, Module Completed: Social Media Analytics: 88, Module to Repeat: null
Student: Lowrance Riccione, Student Number: 6, Program: Principles and techniques of computer animation., Current Module: Computer Animation Principles, Module Completed: Computer Animation Principles: 82, Module to Repeat: null
Student: Kasey Keelinge, Student Number: 7, Program: Agile and traditional software development methodologies., Current Module: Software Development Methodologies, Module Completed: Software Development Methodologies: 78, Module to Repeat: null
Student: Kendall Bugg, Student Number: 8, Program: Ethical issues and dilemmas in computing and technology., Current Module: Computer Ethics, Module Completed: Computer Ethics: 67, Module to Repeat: null
Student: Kendall Bugg, Student Number: 8, Program: Fundamental concepts and techniques in game development., Current Module: Game Development Fundamentals, Module Completed: Game Development Fundamentals: 88, Module to Repeat: null
Student: Kendall Bugg, Student Number: 8, Program: Strategies for marketing products and services in the digital age., Current Module: Digital Marketing Strategies, Module Completed: Digital Marketing Strategies: 72, Module to Repeat: null
Student: Axel Stainton, Student Number: 9, Program: Agile and traditional software development methodologies., Current Module: Software Development Methodologies, Module Completed: Software Development Methodologies: 17, Module to Repeat: Software Development Methodologies
Student: Axel Stainton, Student Number: 9, Program: Design, implementation, and management of operating systems., Current Module: Operating Systems, Module Completed: Operating Systems: 84, Module to Repeat: null
Student: Morganne Abotson, Student Number: 10, Program: Practices and methodologies for managing IT projects., Current Module: IT Project Management Practices, Module Completed: IT Project Management Practices: 100, Module to Repeat: null
Student: Karee Grisenthwaite, Student Number: 11, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Bryn Graham, Student Number: 12, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Hervey Mellish, Student Number: 13, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Norris Dumini, Student Number: 14, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Marissa Carbry, Student Number: 15, Program: Principles and techniques of compiler design., Current Module: Compiler Design Principles, Module Completed: Compiler Design Principles: 45, Module to Repeat: null
Student: Marissa Carbry, Student Number: 15, Program: Techniques for creating animated graphics and visual effects., Current Module: Computer Animation, Module Completed: Computer Animation: 78, Module to Repeat: null
Student: Dacia Slark, Student Number: 16, Program: Fundamental concepts and techniques in data science., Current Module: Introduction to Data Science, Module Completed: Introduction to Data Science: 95, Module to Repeat: null
Student: Torin Merrison, Student Number: 17, Program: Agile and traditional software development methodologies., Current Module: Software Development Methodologies, Module Completed: Software Development Methodologies: 88, Module to Repeat: null
Student: Kath Greensted, Student Number: 18, Program: Ethical issues and dilemmas in computing and technology., Current Module: Computer Ethics, Module Completed: Computer Ethics: 88, Module to Repeat: null
Student: Minne Levins, Student Number: 19, Program: Techniques for processing digital signals., Current Module: Digital Signal Processing Techniques, Module Completed: Digital Signal Processing Techniques: 88, Module to Repeat: null
Student: Ruthy De Lasci, Student Number: 20, Program: Agile and traditional software development methodologies., Current Module: Software Development Methodologies, Module Completed: Software Development Methodologies: 88, Module to Repeat: null
Student: Ruthy De Lasci, Student Number: 20, Program: Design and management of relational databases using SQL., Current Module: Database Design and Management, Module Completed: Database Design and Management: 88, Module to Repeat: null
Student: Ruthy De Lasci, Student Number: 20, Program: Syntax, semantics, and usage of programming languages., Current Module: Programming Languages, Module Completed: Programming Languages: 42, Module to Repeat: null
Student: Raffaello Tryme, Student Number: 21, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Gawen Pedler, Student Number: 22, Program: Basic concepts and technologies of cloud computing., Current Module: Cloud Computing Fundamentals, Module Completed: Cloud Computing Fundamentals: 88, Module to Repeat: null
Student: Gawen Pedler, Student Number: 22, Program: Concepts and features of programming languages., Current Module: Programming Languages Concepts, Module Completed: Programming Languages Concepts: 69, Module to Repeat: null
Student: Gawen Pedler, Student Number: 22, Program: Fundamental concepts and techniques in data science., Current Module: Introduction to Data Science, Module Completed: Introduction to Data Science: 97, Module to Repeat: null
Student: Isa McQuorkel, Student Number: 23, Program: Techniques for creating animated graphics and visual effects., Current Module: Computer Animation, Module Completed: Computer Animation: 73, Module to Repeat: null
Student: Enrico Lettington, Student Number: 24, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Felicle Petch, Student Number: 25, Program: Techniques and tools for data analysis and interpretation., Current Module: Data Science Techniques, Module Completed: Data Science Techniques: 88, Module to Repeat: null
Student: Read Quinnette, Student Number: 26, Program: Design and implementation of cyber-physical systems., Current Module: Cyber-Physical Systems Design, Module Completed: Cyber-Physical Systems Design: 86, Module to Repeat: null
Student: Sibel Rafferty, Student Number: 27, Program: Fundamental concepts and techniques in artificial intelligence., Current Module: Artificial Intelligence, Module Completed: Artificial Intelligence: 88, Module to Repeat: null
Student: Sheffie Wybron, Student Number: 28, Program: Investigation and analysis of digital evidence for legal purposes., Current Module: Computer Forensics Investigation, Module Completed: Computer Forensics Investigation: 88, Module to Repeat: null
Student: Tamiko MacArthur, Student Number: 29, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Umeko Cosford, Student Number: 30, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Inna Fludder, Student Number: 31, Program: Basic principles and practices in cybersecurity., Current Module: Introduction to Cybersecurity, Module Completed: Introduction to Cybersecurity: 95, Module to Repeat: null
Student: Torey Wasteney, Student Number: 32, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Crichton Pithcock, Student Number: 33, Program: Analysis of social media data for insights and trends., Current Module: Social Media Analytics, Module Completed: Social Media Analytics: 89, Module to Repeat: null
Student: Crichton Pithcock, Student Number: 33, Program: Fundamental concepts and techniques in data science., Current Module: Introduction to Data Science, Module Completed: Introduction to Data Science: 37, Module to Repeat: Introduction to Data Science
Student: Crichton Pithcock, Student Number: 33, Program: Fundamentals of web design and development using HTML, CSS, and JavaScript., Current Module: Web Design and Development, Module Completed: Web Design and Development: 96, Module to Repeat: null
Student: Crichton Pithcock, Student Number: 33, Program: Syntax, semantics, and usage of programming languages., Current Module: Programming Languages, Module Completed: Programming Languages: 67, Module to Repeat: null
Student: Barth Casaroli, Student Number: 34, Program: Introduction to Java programming language and object-oriented programming concepts., Current Module: Java Programming, Module Completed: Java Programming: 88, Module to Repeat: null
Student: Catrina Tinson, Student Number: 35, Program: Applications of GIS technology in various fields., Current Module: Geographic Information Systems Applications, Module Completed: Geographic Information Systems Applications: 85, Module to Repeat: null
Student: Catrina Tinson, Student Number: 35, Program: Methods for retrieving information from large datasets., Current Module: Information Retrieval Methods, Module Completed: Information Retrieval Methods: 40, Module to Repeat: null
Student: Hally McMyler, Student Number: 36, Program: Fundamental concepts and tools for network administration., Current Module: Network Administration, Module Completed: Network Administration: 80, Module to Repeat: null
Student: Shandy Levine, Student Number: 37, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Dyanna Yashaev, Student Number: 38, Program: Concepts and applications of IoT technologies., Current Module: Internet of Things, Module Completed: Internet of Things: 70, Module to Repeat: null
Student: Dyanna Yashaev, Student Number: 38, Program: Frontend and backend web development technologies., Current Module: Web Development, Module Completed: Web Development: 88, Module to Repeat: null
Student: Calley Vokins, Student Number: 39, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Britta Hender, Student Number: 40, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Dimitri Wolters, Student Number: 41, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Toma Tal, Student Number: 42, Program: Fundamental concepts and protocols in computer networking., Current Module: Computer Networks, Module Completed: Computer Networks: 98, Module to Repeat: null
Student: Valene Kellegher, Student Number: 43, Program: Applications of CAD software in design and engineering., Current Module: Computer-Aided Design Applications, Module Completed: Computer-Aided Design Applications: 43, Module to Repeat: null
Student: Valene Kellegher, Student Number: 43, Program: Design, implementation, and management of database systems., Current Module: Database Management Systems, Module Completed: Database Management Systems: 85, Module to Repeat: null
Student: Valene Kellegher, Student Number: 43, Program: Design, implementation, and management of operating systems., Current Module: Operating Systems, Module Completed: Operating Systems: 63, Module to Repeat: null
Student: Valene Kellegher, Student Number: 43, Program: Fundamental concepts and techniques in game development., Current Module: Game Development Fundamentals, Module Completed: Game Development Fundamentals: 12, Module to Repeat: Game Development Fundamentals
Student: Valene Kellegher, Student Number: 43, Program: Fundamentals of computer networking and network protocols., Current Module: Computer Networking, Module Completed: Computer Networking: 88, Module to Repeat: null
Student: Gery Bouch, Student Number: 44, Program: null, Current Module: null, Module Completed: null, Module to Repeat: null
Student: Stan De Carlo, Student Number: 45, Program: Investigation and analysis of digital evidence for legal purposes., Current Module: Computer Forensics Investigation, Module Completed: Computer Forensics Investigation: 34, Module to Repeat: Computer Forensics Investigation
Student: Jacquenette Wellesley, Student Number: 46, Program: Ethical and privacy issues in computing and technology., Current Module: Computer Ethics and Privacy, Module Completed: Computer Ethics and Privacy: 88, Module to Repeat: null
Student: Jacquenette Wellesley, Student Number: 46, Program: Techniques for identifying and addressing security vulnerabilities., Current Module: Ethical Hacking Techniques, Module Completed: Ethical Hacking Techniques: 88, Module to Repeat: null
Student: Datha Cohalan, Student Number: 47, Program: Agile and traditional software development methodologies., Current Module: Software Development Methodologies, Module Completed: Software Development Methodologies: 100, Module to Repeat: null
Student: Datha Cohalan, Student Number: 47, Program: Testing methodologies and quality assurance processes., Current Module: Software Testing and Quality Assurance, Module Completed: Software Testing and Quality Assurance: 88, Module to Repeat: null
Student: Shea Tureville, Student Number: 48, Program: Concepts and applications of Internet of Things (IoT)., Current Module: Introduction to Internet of Things, Module Completed: Introduction to Internet of Things: 88, Module to Repeat: null
Student: Shea Tureville, Student Number: 48, Program: Investigation and analysis of digital evidence for legal purposes., Current Module: Computer Forensics, Module Completed: Computer Forensics: 89, Module to Repeat: null
Student: Shea Tureville, Student Number: 48, Program: Phases and processes involved in software development., Current Module: Software Development Lifecycle, Module Completed: Software Development Lifecycle: 88, Module to Repeat: null
Student: Shadow Hallaways, Student Number: 49, Program: Design and management of relational databases using SQL., Current Module: Database Design and Management, Module Completed: Database Design and Management: 95, Module to Repeat: null
Student: Shadow Hallaways, Student Number: 49, Program: Design and programming of embedded systems., Current Module: Embedded Systems, Module Completed: Embedded Systems: 83, Module to Repeat: null
Student: Shadow Hallaways, Student Number: 49, Program: Techniques for enabling computers to interpret and understand visual information., Current Module: Computer Vision, Module Completed: Computer Vision: 52, Module to Repeat: null
Student: Shadow Hallaways, Student Number: 49, Program: Visualization techniques for presenting data and information., Current Module: Data Visualization, Module Completed: Data Visualization: 88, Module to Repeat: null
Student: Ralf Salsbury, Student Number: 50, Program: Investigation and analysis of digital evidence for legal purposes., Current Module: Computer Forensics, Module Completed: Computer Forensics: 88, Module to Repeat: null
Student: Ralf Salsbury, Student Number: 50, Program: Methods and tools for analyzing large and complex datasets., Current Module: Big Data Analytics, Module Completed: Big Data Analytics: 87, Module to Repeat: null
Student: Shaun Normabell, Student Number: 51, Program: Frontend and backend web development technologies., Current Module: Web Development, Module Completed: Web Development: 94, Module to Repeat: null
Student: Shaun Normabell, Student Number: 51, Program: Fundamentals of object-oriented programming using Java., Current Module: Object-Oriented Programming, Module Completed: Object-Oriented Programming: 88, Module to Repeat: null
Student: Shaun Normabell, Student Number: 51, Program: Phases and processes involved in software development., Current Module: Software Development Lifecycle, Module Completed: Software Development Lifecycle: 29, Module to Repeat: Software Development Lifecycle
Student: Lorne MacGilmartin, Student Number: 52, Program: Fundamentals of computer networking and network protocols., Current Module: Computer Networking, Module Completed: Computer Networking: 90, Module to Repeat: null
Student: Tawnya Overstone, Student Number: 53, Program: Processes and techniques for maintaining and updating software., Current Module: Software Maintenance, Module Completed: Software Maintenance: 83, Module to Repeat: null
